AN,CUI,CAEN,DENUMIRE,LOCALITATE,STARE,DATA STARE,ACTIVE IMOBILIZATE - TOTAL,JUDET,ACTIVE CIRCULANTE - TOTAL,STOCURI,CREANTE,CASA SI CONTURI LA BANCI,DATORII,CAPITALURI - TOTAL ,CAPITAL SUBSCRIS VARSAT,CIFRA DE AFACERI NETA,VENITURI TOTALE,CHELTUIELI TOTALE,PROFITUL BRUT,PIERDERE BRUTA,PROFITUL NET,PIERDERE NETA
2018,21462975,2361,NICOMIL S.R.L.,Costâna,INREGISTRAT,27 Martie     2007,357426,SUCEAVA,73958,,72675,1283,236003,287317,495200,0,0,,0,0,0,0
2018,21595343,4941,SAMMY TRANS SRL,Cajvana,RADIERE,04 Noiembrie  2019,967,SUCEAVA,4515,260,4206,49,241248,-235146,200,0,0,140,0,140,0,140
2018,21692621,4941,GIALIS TRANS S.R.L.,Suceava,INREGISTRAT,07 Mai        2007,,SUCEAVA,,,,,292911,-292911,200,0,0,,0,0,0,0
2018,21861640,150,MAIKOVISER SRL,Dorneşti,TRANSFER(SOSIRE),03 Iulie      2014,415214,SUCEAVA,1320027,0,1175232,144795,1915663,-180422,40500,0,2543,16586,0,14043,0,14043
2018,23042110,4619,SHIP HOLDING SRL,Suceava,RADIERE,19 Ianuarie   2018,,SUCEAVA,,,,,0,0,,0,0,,0,0,0,0
2018,23166488,4120,REAL CONSTRUCT SRL,Dărmăneşti,INREGISTRAT,01 Februarie  2008,513563,SUCEAVA,23712934,0,23705523,7411,21662059,2244595,0,0,0,774,0,774,0,774
2018,23279681,220,BARNAR GRUP S.R.L.,Holda,INREGISTRAT,14 Februarie  2008,225650,SUCEAVA,16748,,,16748,849317,-606919,200,24120,24120,,24120,0,24120,0
2018,24154503,7022,AEDIFICIUM S.R.L.,Suceava,INREGISTRAT,07 Iulie      2008,720416,SUCEAVA,635856,595161,,40695,409394,946878,1240889,0,0,,0,0,0,0
2018,24188026,7022,BIGPOLROM SRL,Suceava,RADIERE,28 Februarie  2018,,SUCEAVA,,,,,0,0,,0,0,0,0,0,0,0
2018,24292930,6820,SERENO MB SRL,Suceava,RADIERE,12 Februarie  2018,,SUCEAVA,,,,,0,0,,0,0,,0,0,0,0
2018,24803104,2849,SIDER DESIGN SRL,Suceava,RADIERE,19 Octombrie  2018,,SUCEAVA,,,,,0,0,,0,0,,0,0,0,0
2018,25126340,4120,GEOFORESTAR SRL,Podu Coşnei,RELUARE ACTIVITATE,25 August     2017,,SUCEAVA,200,,200,,0,200,200,0,0,,0,0,0,0
2018,25842829,4690,DORNA E.B.C. S.R.L.,Şaru Dornei,INREGISTRAT,31 Iulie      2009,,SUCEAVA,200,,,200,0,200,200,0,0,,0,0,0,0
2018,26007541,146,TERRA ZOOTEHNIC S.R.L.,Slatina,INREGISTRAT,17 Septembrie 2009,1304000,SUCEAVA,,,,,7172323,-5868323,200,0,0,5868523,0,5868523,0,5868523
2018,26185417,4765,UTIL STORE S.R.L.,Marginea,INREGISTRAT,04 Noiembrie  2009,532680,SUCEAVA,,,,,561276,-28596,200,0,362490,,362490,0,362490,0
2018,26292448,1629,PELLETS PRODUCTION SRL,Baia,INREGISTRAT,04 Decembrie  2009,643000,SUCEAVA,3445478,79953,3362879,2646,4378976,-1116494,35200,2400,2400,33194,0,30794,0,30794
2018,26348310,4941,ALCO FRIGOTRANS SRL,Braşca,RADIERE,11 Martie     2020,0,SUCEAVA,152551,0,93858,58693,17032,135519,200,76439,78257,13467,64790,0,63180,0
2018,26472520,2550,GABIPOM STEEL SRL,Marginea,RADIERE,19 Iulie      2019,0,SUCEAVA,53505,0,53693,-188,705536,-647697,200000,0,10666,23164,0,12498,0,12498
2018,27009486,2511,DUMISTRELI SRL,Suceava,RADIERE,06 Februarie  2020,89649,SUCEAVA,1896469,1449808,429790,16871,1614056,-212885,200,11600,94729,111425,0,16696,0,16696
2018,29259721,7820,AVISO INTERIM SRL,Drăgoieşti,SUSPENDARE ACTIVITATE,15 Aprilie    2013,,SUCEAVA,,,,,3135178,-3135178,520,0,0,,0,0,0,0
2018,29422461,4941,ARSIDVAL TRANS SRL,Mănăstirea Humorului,RADIERE,24 Aprilie    2019,28358,SUCEAVA,471092,0,470656,436,307496,191954,500,0,35357,43366,0,8009,0,8009
2018,29448020,4941,ITIA TRANS LOGISTIC S.R.L.,Rădăuţi,RADIERE,25 Februarie  2020,,SUCEAVA,,,,,1299149,-1299149,100000,0,0,1265239,0,1265239,0,1265239
2018,29632730,220,ADANDY FOREST SRL,Rădăuţi,INREGISTRAT,08 Februarie  2012,,SUCEAVA,50009,,48045,1964,0,50009,50000,0,0,,0,0,0,0
2018,30420260,7500,RAMAVET S.R.L.,Baia,INREGISTRAT,11 Iulie      2012,149498,SUCEAVA,52433,22056,6326,24051,477350,-490143,200,0,0,123025,0,123025,0,123025
2018,30945650,150,ALPINA BLUE CHESSE S.R.L.,Fundu Moldovei,INREGISTRAT,23 Noiembrie  2012,,SUCEAVA,,,,,726936,-726936,200,0,0,727136,0,727136,0,727136
2018,31461691,4211,SIDEDANY SILVA CONSTRUCT S.R.L.,Suceava,RADIERE,02 Octombrie  2019,1671,SUCEAVA,35789,0,35884,-95,112400,-74940,200,0,0,0,0,0,0,0
2018,31642590,3320,UTS BIOGASTECHNIK GmbH GERMANIA - SEDIU PERMANENT,Vornicenii Mici,INREGISTRAT,15 Mai        2013,,SUCEAVA,20725774,4852,20720922,,18040979,2684795,,0,260400,345621,0,85221,0,85221
2018,32438905,5630,BOG-CAT S.R.L.,Fălticeni,INREGISTRAT,06 Noiembrie  2013,,SUCEAVA,21478,,,21478,0,21478,210,99781,99820,71731,28089,0,26282,0
2018,32552291,5610,BELLA FONDI S.R.L.,Salcea,INREGISTRAT,05 Decembrie  2013,8377,SUCEAVA,37266,31340,5271,655,115288,-69645,200,0,0,,0,0,0,0
2018,33356749,1610,HANCE FOREST S.R.L.,Negostina,RADIERE,17 Iulie      2019,,SUCEAVA,,,,,36352,-36352,200,0,0,,0,0,0,0
2018,34153734,2361,PAVISTOR S.R.L.,Suceava,RADIERE,20 Mai        2019,273,SUCEAVA,10360,,10625,-265,279069,-268436,200,0,0,,0,0,0,0
2018,34636313,9602,SALON GLM S.R.L.-D.,Rădăuţi,RADIERE,23 Septembrie 2019,,SUCEAVA,,,,,10122,-10122,200,0,0,,0,0,0,0
2018,35830252,4721,GLOSTER-GOLD COMPANY S.R.L.,Udeşti,RADIERE,09 Iulie      2019,,SUCEAVA,67271,,66967,304,380487,-313216,200,0,0,784,0,784,0,784
2018,36274872,4941,BOB ELS TRANSPORT S.R.L.,Siret,RADIERE,08 Februarie  2019,90638,SUCEAVA,47233,,47233,,131286,6585,200,198260,223754,217369,6385,0,6385,0
2018,36530121,4520,CALMAR ANVELOPE SERVICE S.R.L.,Marginea,INREGISTRAT,15 Septembrie 2016,,SUCEAVA,,,,,0,0,,0,0,,0,0,0,0
2018,37041573,7810,ALEXANDRU ANAMARIA ANDREEA S.R.L.,Rădăuţi,RADIERE,30 Ianuarie   2020,,SUCEAVA,,,,,0,0,500,0,0,,0,0,0,0
2018,11815131,4638,FLORAMON S.R.L.,Fălticeni,INREGISTRAT,03 Iunie      1999,598,SUCEAVA,19767,34,5200,14533,1135147,-1114932,500000,0,987,44762,0,43775,0,43775
2018,11849916,1623,TERRA PROIECT SRL,Suceava,INREGISTRAT,15 Iunie      1999,184994,SUCEAVA,1074508,283993,387562,402953,1322264,-62762,150200,0,56765,896541,0,839776,0,845236
2018,11869751,4329,VEDYAC PROD S.R.L.,Vatra Dornei,INREGISTRAT,17 Iunie      1999,661300,SUCEAVA,,,,,3413784,-2752484,25000,0,0,,0,0,0,0
2018,12031175,1610,TEHNO-UTIL LEMN S.R.L.,Gura Humorului,INREGISTRAT,12 August     1999,1136838,SUCEAVA,6682693,465229,6138052,79412,3897919,4127509,696200,55853,55940,119,55821,0,55821,0
2018,12078330,1610,VOICULET SRL,Dorna-Arini,INREGISTRAT,01 Septembrie 1999,86217,SUCEAVA,104,,,104,184256,-97935,300200,0,0,152,0,152,0,152
2018,12137029,4673,CASA PLUS S.R.L.,Suceava,INREGISTRAT,17 Septembrie 1999,442801,SUCEAVA,820576,,16168,804408,17186415,-15923422,2000000,0,263,830033,0,829770,0,829770
2018,12150567,1610,PANAFOR IMPEX S.R.L.,Panaci,INREGISTRAT,22 Septembrie 1999,988600,SUCEAVA,409213,,382077,27136,3089956,-1692143,85782,0,0,1172331,0,1172331,0,1172331
2018,12262692,4520,OIL D.NEGRU COMPANY SRL,Şcheia,INREGISTRAT,15 Octombrie  1999,1170465,SUCEAVA,1028871,,1017062,11809,681661,1517675,3361140,0,767169,713353,53816,0,53816,0
2018,12262820,1610,LINIS-BUZ SRL,Şaru Dornei,INREGISTRAT,15 Octombrie  1999,2009036,SUCEAVA,214114,39117,129960,45037,2039217,183933,100200,0,0,28319,0,28319,0,28319
2018,12398482,4690,FEL-GHY SRL,Vatra Dornei,RADIERE,11 Februarie  2019,,SUCEAVA,50000,,,50000,0,50000,50000,0,0,,0,0,0,0
2018,12515949,5590,DENISALBERT SRL,Cozăneşti,RADIERE,10 Iulie      2018,1045400,SUCEAVA,372262,37600,333933,729,1168325,-75240,200,0,0,,0,0,0,0
2018,12743777,4120,MARSECON S.R.L.,Rădăuţi,INREGISTRAT,06 Martie     2000,0,SUCEAVA,8170660,,5519420,30850,5569158,2601502,79400,2380,109780,574602,0,464822,0,464822
2018,13012090,2221,DUO MAT SRL,Suceava,INREGISTRAT,16 Mai        2000,7090952,SUCEAVA,18086685,2578504,14909459,598722,43304255,-18131949,3515480,0,0,246734,0,246734,0,246734
2018,13074425,4332,ALUMET SRL,Suceava,RADIERE,18 Noiembrie  2019,987057,SUCEAVA,,,,,7247227,-6260170,1000000,0,1035169,1238196,0,203027,0,203027
2018,13721289,1623,FORESTERRA SRL,Suceava,INREGISTRAT,21 Februarie  2001,1177475,SUCEAVA,401854,146152,223832,31870,2287351,-756426,196500,0,5744,156379,0,150635,0,150635
2018,13770575,4120,BENEDETTI G&G S.R.L.,Dărmăneşti,INREGISTRAT,15 Martie     2001,,SUCEAVA,200,,,200,0,200,200,0,0,,0,0,0,0
2018,14027286,2410,ANMIR S.R.L.,Frasin,INREGISTRAT,03 Iulie      2001,2580559,SUCEAVA,657162,,652118,5044,2862741,493421,100000,5400,350176,129082,221094,0,221094,0
2018,14274103,4742,PROGSM S.R.L.,Rădăuţi,INREGISTRAT,01 Noiembrie  2001,201387,SUCEAVA,583228,169142,413808,278,2071467,-1256516,200,0,0,0,0,0,0,0
2018,14340738,4941,RAINMAN SRL,Suceava,RADIERE,11 Februarie  2019,414,SUCEAVA,213208,0,98135,115073,234213,-20591,200,0,5464,1268,4196,0,4196,0
2018,14469199,2223,ROPLAST THERMO SRL,Spătăreşti,RADIERE,17 Iulie      2019,2383305,SUCEAVA,775650,58981,581015,135654,8868807,-5711096,1260000,0,180639,290811,0,110172,0,110172
2018,14506661,1610,TEHNO ROVA SRL,Broşteni,INREGISTRAT,11 Martie     2002,0,SUCEAVA,561206,0,560942,264,572388,-11182,100000,0,1,1147,0,1146,0,1146
2018,14598851,4531,AUTO-MIR SRL,Sfântu Ilie,RADIERE,08 Noiembrie  2019,,SUCEAVA,170086,,170086,0,232907,-62821,150000,0,0,,0,0,0,0
2018,14630790,4120,REBONA PROD S.R.L.,Câmpulung Moldovenesc,INREGISTRAT,13 Mai        2002,42190,SUCEAVA,1064063,143728,801009,119326,842011,264242,231000,0,14,9663,0,9649,0,9649
2018,14682110,3530,TERMICA SA,Suceava,INREGISTRAT,06 Iunie      2002,153469305,SUCEAVA,12996082,2989258,8409785,1597039,72065280,55814668,83604600,1932685,7663328,231298,7432030,0,7432030,0
2018,14725610,729,MINBUCOVINA SA,Vatra Dornei,INREGISTRAT,02 Iulie      2002,1297630,SUCEAVA,3651508,1095325,1255078,1301105,66458081,-61511300,13145180,72941,801509,450186,351323,0,351323,0
2018,14951570,5610,CORIDASERVICE SRL,Suceava,RADIERE,15 Noiembrie  2018,178349,SUCEAVA,,,,,1197854,-1019505,401050,0,0,,0,0,0,0
2018,15045345,5610,MEMO S.R.L.,Pătrăuţi,INREGISTRAT,28 Noiembrie  2002,1474840,SUCEAVA,11671,,11671,,1827016,-340505,600,0,214,126433,0,126219,0,126219
2018,15091678,6020,LIGONE INTERNATIONAL SRL,Suceava,RADIERE,13 Februarie  2019,,SUCEAVA,,,,,510137,-510137,10000,0,0,,0,0,0,0
2018,15146501,4730,GOLD & PLATIN MOLDOVA SRL,Suceava,TRANSFER(SOSIRE),28 Noiembrie  2013,,SUCEAVA,1335,,1335,,530824,-51509249,1690,0,0,7025,0,7025,0,7025
2018,15174587,4120,SOCONI GROUP S.R.L.,Suceava,INREGISTRAT,31 Ianuarie   2003,9735165,SUCEAVA,1051410,439671,399194,212545,6209375,4577200,10400,0,-10028,80659,0,90687,0,90687
2018,15181630,4711,FILI & ANGI S.R.L.,Suceava,INREGISTRAT,28 Ianuarie   2003,,SUCEAVA,7961,7961,,,93068,-85107,200,0,0,,0,0,0,0
2018,15278596,4941,VALIDOR TRANS SRL,Volovăţ,RADIERE,13 Martie     2020,644383,SUCEAVA,,,,,1389912,-745529,150200,0,0,,0,0,0,0
2018,15501263,4649,PRO OFFICE SRL,Suceava,INREGISTRAT,10 Iunie      2003,0,SUCEAVA,24851,6521,17333,997,240667,-215816,200,0,6545,204421,0,197876,0,197876
2018,15535401,4120,B & B INTERNATIONAL S.R.L.,Dumbrăveni,INREGISTRAT,23 Iunie      2003,528000,SUCEAVA,1244983,,1244983,,3150515,-1377532,250000,0,0,128,0,128,0,128
2018,15713100,4511,AUTOBITTI S.R.L.,Bulai,INREGISTRAT,02 Septembrie 2003,8691545,SUCEAVA,469062,412573,-10072,66561,14147388,-4985113,761880,0,3686,40118,0,36432,0,36432
2018,15734692,4120,VASOTI SRL,Voitinel,RADIERE,03 Decembrie  2019,291913,SUCEAVA,,,,,5582948,-5291035,1600000,0,0,,0,0,0,0
2018,16070606,4690,G.L.TUR S.R.L.,Suceava,INREGISTRAT,21 Ianuarie   2004,,SUCEAVA,200,,,200,0,200,200,0,0,,0,0,0,0
2018,16070690,4673,PORTIC S.R.L.,Câmpulung Moldovenesc,INREGISTRAT,21 Ianuarie   2004,87882,SUCEAVA,700293,0,589233,111060,603966,184209,200,0,0,5,0,5,0,5
2018,16181248,322,PASTRAVUL HOLDEAN SRL,Dragomirna,RADIERE,08 Aprilie    2019,,SUCEAVA,58862,,,58862,58862,0,,1542353,2091489,2899914,0,808425,0,828002
2018,16202340,6010,IMPACT MEDIA SRL,Suceava,INREGISTRAT,03 Martie     2004,272,SUCEAVA,60772,1437,54195,5140,408827,-347783,200,0,2852,12524,0,9672,0,9672
2018,16318109,1622,LEVISAD SRL,Suceava,RADIERE,13 Februarie  2019,,SUCEAVA,3000,,,3000,0,3000,3000,0,0,,0,0,0,0
2018,16388090,2312,STICLA FALTICENI SRL,Fălticeni,RADIERE,17 Aprilie    2019,,SUCEAVA,0,,,0,0,0,200,0,0,,0,0,0,0
2018,16395900,4711,BERE COMPANY SOLCA - FONDAT 1810 SRL,Solca,RADIERE,19 Septembrie 2018,,SUCEAVA,,,,,0,0,,0,0,,0,0,0,0
2018,16696430,1051,LA CAPRA SRL,Suceava,RADIERE,24 Aprilie    2019,,SUCEAVA,200,,,200,0,200,200,0,0,,0,0,0,0
2018,16727774,4120,DELTACONSTRUCT S.R.L.,Frasin,INREGISTRAT,01 Septembrie 2004,74000,SUCEAVA,,,,,2702823,-2628823,500000,0,0,,0,0,0,0
2018,16927616,4120,KAMER NOVA CONSTRUCT S.R.L.,Suceava,INREGISTRAT,10 Noiembrie  2004,19792,SUCEAVA,153480,32702,120778,0,434759,-261487,1000,0,0,345,0,345,0,345
2018,16992134,4213,GROUP CONSTRUCT SRL,Siret,INREGISTRAT,30 Noiembrie  2004,520000,SUCEAVA,157853,,157407,446,103437,574416,253400,0,0,7348,0,7348,0,7348
2018,16992142,4690,DANIELTRANS S.R.L.,Volovăţ,INREGISTRAT,30 Noiembrie  2004,51558,SUCEAVA,8056,,7416,640,78691,-19077,4800,0,0,,0,0,0,0
2018,17191142,5610,OPTIONS SRL,Suceava,RADIERE,24 Aprilie    2019,396664,SUCEAVA,113906,2652,81051,30203,3141728,-2572328,35000,0,78803,87724,0,8921,0,8921
2018,17191215,4729,SEBATEC COM SRL,Gura Humorului,INREGISTRAT,02 Februarie  2005,,SUCEAVA,,,,,0,0,,0,0,,0,0,0,0
2018,17203280,5221,LARITRANS S.R.L.,Suceava,INREGISTRAT,04 Februarie  2005,,SUCEAVA,67386,,65614,1772,5582,61804,200,0,0,,0,0,0,0
2018,17281008,4941,EUNIS SRL,Brodina,RADIERE,29 Decembrie  2017,357171,SUCEAVA,100688,,92407,8281,1764084,-1306225,59000,0,-27261,25987,0,53248,0,54522
2018,17326487,4776,PROPLANT S.R.L.,Rădăuţi,INREGISTRAT,07 Martie     2005,,SUCEAVA,1766893,1210382,528618,27893,1196460,570433,240200,0,0,,0,0,0,0
2018,17471592,4321,GROUP CONSTRUCT INVEST SRL,Suceava,RADIERE,22 Noiembrie  2019,343795,SUCEAVA,382042,34300,346944,798,1092360,-408854,10000,0,0,15820,0,15820,0,15820
2018,17483600,4690,BEST PROTECT OF BUCOVINA SRL,Vatra Dornei,RADIERE,01 Octombrie  2018,,SUCEAVA,200,,,200,0,200,200,0,0,,0,0,0,0
2018,17576149,4120,PROIECT CONSTRUCT S.R.L.,Dorneşti,INREGISTRAT,11 Mai        2005,153381,SUCEAVA,232343,22086,208363,1894,3792514,-3405877,200,0,14066,11611,2455,0,2455,0
2018,17739173,4110,LUXBAU S.R.L.,Suceava,INREGISTRAT,29 Iunie      2005,781868,SUCEAVA,,,,,1838751,-1056883,150200,0,0,,0,0,0,0
2018,17783241,8553,STAR SAFIR SRL,Capu Cîmpului,RADIERE,20 Decembrie  2019,0,SUCEAVA,8401,0,8401,0,226074,-218033,200,0,4000,4000,0,0,0,0
2018,17816764,4322,INSTERMO SRL,Rădăuţi,INREGISTRAT,26 Iulie      2005,2202452,SUCEAVA,163883,,193790,-29907,2207032,88008,214650,0,11424,28716,0,17292,0,17292
2018,17932777,4211,DRUMURI ŞI PODURI SA,Suceava,INREGISTRAT,06 Septembrie 2005,145824,SUCEAVA,1951521,,645243,1306278,861927,863309,14773420,600,3517187,1068126,2449061,0,2449061,0
2018,17939767,4120,BETACONS SRL,Bucşoaia,RADIERE,15 Noiembrie  2019,,SUCEAVA,17214034,,17201772,12262,13332647,3881387,200,0,299838,40403,259435,0,259435,0
2018,17971032,113,ROSSABLUE S.R.L.,Horodnic de Sus,INREGISTRAT,20 Septembrie 2005,1096566,SUCEAVA,52783,,52652,131,1344837,-426061,200,0,0,37,0,37,0,37
2018,18080274,4673,TRANSLICOL SRL,Frătăuţii Noi,RADIERE,13 Februarie  2019,29572,SUCEAVA,31745,,31737,8,625443,-564126,50000,12810,12822,14318,0,1496,0,1496
2018,18236978,1610,PYT COM SRL,Cornu Luncii,RADIERE,28 Martie     2019,39714,SUCEAVA,1243322,0,1242682,640,566330,716706,5000,0,3826,2170,1656,0,1044,0
2018,717162,1413,FINE STYLE SRL,Gura Humorului,INREGISTRAT,01 Martie     1993,1196580,SUCEAVA,1309118,,363352,945766,1017257,1488441,168500,0,4124,46471,0,42347,0,42347
2018,717901,1011,ABATORUL BURDUJENI SA,Suceava,RADIERE,02 Octombrie  2019,3880,SUCEAVA,102839,,,102839,875015,-687734,2111446,0,6154,940,5214,0,5214,0
2018,717928,2313,STIMAS S.A.,Suceava,INREGISTRAT,30 Noiembrie  1992,701459,SUCEAVA,564708,490674,25096,48938,7889409,-3886014,2935168,0,97,142657,0,142560,0,142560
2018,718265,4711,GENILONI SRL,Suceava,INREGISTRAT,05 August     1992,20112,SUCEAVA,,,,,61546,-41434,50000,0,0,,0,0,0,0
2018,726861,4120,MUHA S.R.L.,Suceava,INREGISTRAT,30 Noiembrie  1992,6930076,SUCEAVA,4636611,1887284,2292443,456884,12605112,-1038425,3525400,0,-6015,4565,0,10580,0,12294
2018,733168,4619,ORIZONT SA,Fălticeni,RADIERE,24 Aprilie    2019,,SUCEAVA,322159,,292287,29872,7045,315114,266250,0,300300,116316,183984,0,149581,0
2018,735878,4941,UMTCF SA,Gura Humorului,INREGISTRAT,30 Noiembrie  1992,,SUCEAVA,116431,115088,,1343,3107033,-2990602,295420,0,0,,0,0,0,0
2018,740467,5630,DANI BAR S.R.L.,Rădăuţi,INREGISTRAT,30 Noiembrie  1992,8935,SUCEAVA,34598,27456,7086,56,67653,-22383,200,0,0,,0,0,0,0
2018,740866,4329,VAGRIS S.R.L.,Rădăuţi,INREGISTRAT,30 Noiembrie  1992,,SUCEAVA,1141580,,1141580,,6419960,-5278380,20100,0,0,,0,0,0,0
2018,743064,119,FORGIL SRL,Vatra Dornei,RADIERE,13 Martie     2020,1246222,SUCEAVA,719865,,342166,377699,2412848,-446761,400000,0,377572,129265,248307,0,248307,0
2018,750177,149,NUTRIVER SA,Vereşti,INREGISTRAT,30 Noiembrie  1992,,SUCEAVA,1162295,,804234,358061,1966077,-803782,1279225,0,0,,0,0,0,0
2018,751407,1071,DOLCEANU S.R.L.,Buneşti,INREGISTRAT,30 Noiembrie  1992,,SUCEAVA,3736,,,3736,0,3736,3736,0,0,,0,0,0,0
2018,752984,4690,CALIMANEL SRL,Vatra Dornei,INREGISTRAT,30 Noiembrie  1992,531610,SUCEAVA,12847,,12384,463,7740760,-7196303,440170,0,1,89189,0,89188,0,89188
2018,756668,4719,MICA INDUSTRIE ŞI PRESTĂRI SERVICII SRL,Cajvana,INREGISTRAT,30 Noiembrie  1992,3104281,SUCEAVA,8115604,5835511,2043900,236193,13407941,261034,350000,32576,37080,119702,0,82622,0,82622
2018,764083,4931,ACROPOLE SRL,Marginea,RADIERE,19 Aprilie    2019,0,SUCEAVA,147542,0,147542,0,147225,317,70000,0,0,0,0,0,0,0
2018,766602,1610,NEXAL GRUP SA,Gălăneşti,RELUARE ACTIVITATE,10 Octombrie  2012,115942,SUCEAVA,33898,26793,6857,248,177959,-28119,104611,0,0,,0,0,0,0
2018,769927,1051,CHILIA S.R.L.,Pojorâta,INREGISTRAT,30 Noiembrie  1992,349090,SUCEAVA,1076639,,525859,550780,3364276,-1938547,210230,121,721,109410,0,108689,0,108689
2018,1551822,7112,INGRO SRL,Suceava,RADIERE,04 Aprilie    2018,,SUCEAVA,,,,,0,0,,0,0,,0,0,0,0
2018,2560160,4771,TRICOMPLEX S.R.L.,Suceava,INREGISTRAT,15 Decembrie  1992,1035007083,SUCEAVA,1155258283,,19853469,,1531128723,659136643,133991350,0,0,959,0,959,0,959
2018,2560390,5630,GRANADA COMSERVICE SRL SUCEAVA,Suceava,INREGISTRAT,15 Decembrie  1992,73054,SUCEAVA,50311,,12000,38311,16191,107174,212,0,0,,0,0,0,0
2018,6181275,1610,FEDUT COM SRL,Pilugani,INREGISTRAT,16 Septembrie 1994,97033,SUCEAVA,56,,,56,462117,-365028,100200,0,148,12630,0,12482,0,12482
2018,6216322,4730,ARNIMA PROD SRL,Rădăuţi,RADIERE,05 Noiembrie  2018,,SUCEAVA,,,,,0,0,121100,0,0,,0,0,0,0
2018,6227186,1071,MARVAS PAN SRL,Braşca,RADIERE,13 Decembrie  2017,628409,SUCEAVA,75,,,75,863512,-235028,250000,6348,131385,233282,0,101897,0,108754
2018,6475246,4690,GOLDBERG PROD-COM SRL,Cârlibaba,RADIERE,13 Septembrie 2018,,SUCEAVA,100720,,,100720,0,100720,100720,0,0,,0,0,0,0
2018,6526480,1051,LACTO-ZAHARIA S.R.L.,Deia,INREGISTRAT,12 Decembrie  1994,437125,SUCEAVA,104621,13249,90206,1166,1429522,-1169687,33200,0,1,4501,0,4500,0,4500
2018,6726860,4671,FLAGA LPG SA,Vereşti,INREGISTRAT,05 Ianuarie   1995,1801009,SUCEAVA,6896902,4186283,1310568,1400051,2637408,5913045,2598943,21308237,21428660,22172053,0,743393,0,972004
2018,6726992,3109,TEHNO-UTIL S.R.L.,Suceava,INREGISTRAT,05 Ianuarie   1995,613917,SUCEAVA,753768,15358,704015,34395,6218037,-4850352,1433000,0,-27805,8491,0,36296,0,36296
2018,6727378,3109,GENERAL MARKETING GROUP SRL,Suceava,INREGISTRAT,05 Ianuarie   1995,21590,SUCEAVA,295,,,295,972036,-950151,400210,0,0,19,0,19,0,19
2018,6728225,4941,TRANS-PAV S.R.L.,Dumbrăveni,INREGISTRAT,27 Decembrie  1994,1742708,SUCEAVA,1955788,1798319,145113,12356,6562525,-2864029,4552,0,0,,0,0,0,0
2018,6728322,4211,GHETARUL PROD-COM S.R.L.,Ciocăneşti,INREGISTRAT,05 Ianuarie   1995,37589,SUCEAVA,1685038,,1551952,133086,8922327,-7199700,445000,28160,1159016,3953206,0,2794190,0,2794190
2018,6871640,812,RIDANA IMPEX SRL,Suceava,RADIERE,12 Martie     2019,225255,SUCEAVA,2287300,74426,1976525,236349,2222876,288950,620500,0,0,0,0,0,0,0
